Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9599427753934192,0.9599876127723979,0.9599427753934192,0.9597634469862932
Decision Tree,1.0,1.0,1.0,1.0
Random Forest,0.9997138769670959,0.9997147492934157,0.9997138769670959,0.9997140026651525
KNN,0.8984263233190272,0.8982179327863385,0.8984263233190272,0.8979433543195601
SVM,0.9427753934191703,0.9427201960713052,0.9427753934191703,0.9424579273340874
